query_id,query_text,query_type,filter_category,filter_subcategory,filter_brand,filter_color,filter_material,filter_price_min,filter_price_max,filter_availability,expected_keyword_fields,expected_vector_fields,expected_ranking_signals,notes
CQ-001,CND-SOF-1001,exact_sku,,,,,,,,,sku,title|tags,exact_sku_match|availability|popularity_score,Exact SKU should bypass semantic expansion.
CQ-002,GLW-LMP-3002,exact_sku,,,,,,,,out_of_stock,sku,title|description,exact_sku_match|availability,Out-of-stock exact SKU remains auditable but demoted.
CQ-003,Haven Modular Sofa,exact_product_name,furniture,sofas,,,,,,in_stock,title|brand|category,title|description|tags,exact_title_match|category_relevance|popularity_score,Duplicate title tests dedup and ranking.
CQ-004,Oakridge Storage Bench,exact_product_name,furniture,benches,,natural oak,wood,,,in_stock,title|attribute_material|attribute_color,title|description|tags,exact_title_match|filter_alignment|conversion_rate,Duplicate bench title with structured filters.
CQ-005,area rugs,broad_category,rugs,,,,,,,in_stock,category|subcategory|tags,title|description|tags,category_relevance|popularity_score,Broad category retrieval.
CQ-006,dining tables,broad_category,furniture,dining tables,,,,,,in_stock,category|subcategory|tags,title|description|attribute_room,category_relevance|availability|clicks,Broad category plus subcategory.
CQ-007,blue ceramic bedside lamp,attribute_based,lighting,table lamps,,blue,ceramic,,,in_stock,title|attribute_color|attribute_material,title|description|attribute_style,filter_alignment|conversion_rate,Attribute terms in query and filters.
CQ-008,wool rug for living room,attribute_based,rugs,area rugs,,ivory,wool,,,in_stock,title|attribute_material|attribute_room,title|description|tags,filter_alignment|semantic_intent|popularity_score,Material and room constraint.
CQ-009,storage for a narrow entryway,vague_intent,furniture,,,,wood,,,in_stock,title|subcategory|tags,title|description|attribute_room,semantic_intent|filter_alignment|availability,Vague storage intent should find bench or console.
CQ-010,calm bedroom lighting,vague_intent,lighting,,,warm white,,,,in_stock,title|category|attribute_room,title|description|attribute_style,semantic_intent|availability|popularity_score,Discovery query for lamps without exact name.
CQ-011,storage bench,attribute_based,furniture,benches,,,wood,,,in_stock,title|subcategory|attribute_material,title|description|tags,exact_title_match|filter_alignment|availability,Example row used in audit doc.
CQ-012,runner,attribute_based,rugs,runners,,,,,,in_stock,title|subcategory|tags,title|description|attribute_room,keyword_ambiguity|category_relevance,Ambiguous runner should separate rug runner from table runner.
CQ-013,runner for dining table,attribute_based,kitchen,table linens,,,,,,in_stock,title|subcategory|tags,title|description|attribute_room,keyword_ambiguity|filter_alignment,Ambiguous runner with structured category.
CQ-014,shade,attribute_based,lighting,lamp shades,,,,,,in_stock,title|subcategory|tags,title|description|attribute_room,keyword_ambiguity|exact_title_match,Ambiguous shade should find lamp shade before window shade with filter.
CQ-015,privacy shade for bedroom,attribute_based,window,window shades,,gray,polyester,,,in_stock,title|subcategory|attribute_room,title|description|tags,semantic_intent|filter_alignment,Semantic phrase should find roller shade.
CQ-016,baskets for blankets,vague_intent,storage,baskets,,,,,,in_stock,title|subcategory|tags,title|description|attribute_material,semantic_intent|add_to_cart_count,Discovery query with duplicate basket title.
CQ-017,patio dining table,outdoor_intent,outdoor,patio tables,,,,,,out_of_stock,title|category|subcategory,title|description|tags,availability|category_relevance,Out-of-stock outdoor item for demotion testing.
CQ-018,copper saucepan under 200,attribute_based,kitchen,cookware,,copper,stainless steel,,200,in_stock,title|attribute_color|attribute_material,title|description|tags,filter_alignment|price_alignment|conversion_rate,Price max is structured not only free text.
CQ-019,modern black entryway hooks,attribute_based,hardware,wall hooks,,black,metal,,,in_stock,title|attribute_color|attribute_room,title|description|tags,filter_alignment|semantic_intent,Sparse exact hardware query.
CQ-020,cozy apartment dining for two,vague_intent,furniture,dining tables,,,,,300,in_stock,title|subcategory|tags,title|description|attribute_size,semantic_intent|price_alignment|availability,Vague intent with price max should find drop leaf table.
